route,order,stop,lat,lon
1,0,Кирпичный Т/А,51.20112,71.44997
1,1,Средняя школа № 12,51.20030,71.45588
1,2,Улица Жолымбет,51.19571,71.46430
1,3,Улица Аркарлы,51.19785,71.46108
1,4,Республиканская Мед. Академия,51.19350,71.46470
1,5,Магазин 12 месяцев,51.19042,71.45732
1,6,Трасса Алаш,51.18880,71.45344
1,7,Гостиница Жасыбай,51.17533,71.43756
1,8,ТЦ Жаннур,51.16841,71.43936
1,9,Деловой дом Алматы,51.16331,71.44086
1,10,Мехколонна №56,51.16013,71.44189
1,11,Ул. А. Бараева,51.15754,71.43612
1,12,Микрорайон Самал,51.15801,71.42967
1,13,Ул. А. Иманова,51.16168,71.42865
1,14,Проспект Республики,51.16546,71.42622
1,15,Филармония,51.16468,71.42070
1,16,Стадион Кажымукана,51.16367,71.41306
1,17,Ул. Кенесары,51.16304,71.40792
1,18,Школа-лицей № 56,51.16264,71.40466
1,19,Газмашаппарат,51.15730,71.39608
10,0,ТЖ Вокзал,51.19486,71.40880
10,1,Ул. Биржан сал,51.19070,71.40867
10,2,Ул. И. Есенберлина,51.18952,71.41238
10,3,Агротехнический ун-т,51.18741,71.41536
10,4,Мед. ун-т Астана,51.18070,71.41719
10,5,Политехнический колледж,51.17573,71.41849
10,6,БЦ Marden,51.17091,71.42187
10,7,Народный банк,51.16733,71.42657
10,8,Ул. А. Иманова,51.16398,71.42751
10,9,Ул. Ж. Тархана,51.16040,71.42850
10,10,Микрорайон Самал,51.15736,71.42944
10,11,Парк Ататюрк,51.15191,71.43877
10,12,Ул. Амман,51.15066,71.44444
10,13,Дом министерств,51.12967,71.43806
10,14,Казахстан темiр жолы,51.13171,71.42483
10,15,Ул. Д. Кунаева,51.13284,71.41795
10,16,Кардиологическая клиника,51.12762,71.41333
10,17,Центр нейрохирургии,51.12275,71.41239
10,18,БЦ Асыл-Тау,51.11780,71.41152
10,19,Дворец единоборств,51.11465,71.41096
10,20,Стадион Астана-Арена,51.10664,71.40863
10,21,Ледовый дворец Алау,51.10027,71.40634
10,22,ЖК Экспоплаза,51.09250,71.40355
10,23,Назарбаев университет,51.08920,71.40237
10,24,Центральный госпиталь,51.08138,71.39956
10,25,ЖК Будапешт,51.07750,71.39814
25,0,Теплотранзит,51.16594,71.48638
25,1,Мед. центр псих. здоровья,51.16359,71.48435
25,2,Компания Астана Моторс,51.16103,71.48182
25,3,Гуманитарный колледж,51.15865,71.47946
25,4,ЕНУ им. Гумилёва,51.15574,71.47202
25,5,СК SANA SPORT,51.15362,71.46446
25,6,ТД Орбита,51.15218,71.45919
25,7,Монумент Отечества,51.15210,71.45594
25,8,Мкр. Целинный,51.15588,71.45292
25,9,Мкр. Жастар,51.15897,71.44111
25,10,Ул. А. Бараева,51.15754,71.43612
25,11,Микрорайон Самал,51.15801,71.42967
25,12,Ул. А. Иманова,51.16168,71.42865
25,13,Проспект Республики,51.16546,71.42622
25,14,Филармония,51.16468,71.42070
25,15,Ул. Т. Бигельдинова,51.16453,71.41458
25,16,Департамент Юстиции,51.16807,71.41358
25,17,Проспект Женiс,51.17059,71.41284
25,18,Памятник М. Маметовой,51.17404,71.41179
25,19,Школа-лицей № 15,51.17981,71.41013
25,20,Ул. Московская,51.18244,71.40935
25,21,Ул. А. Молдагуловой,51.18599,71.40843
25,22,Театр Жастар,51.18937,71.40755
25,23,ТЦ Даулет,51.19295,71.40783
25,24,ТЖ Вокзал,51.19462,71.40950
